Time,pH
1,5.8324010798793
2,5.84327229350219
3,5.83460357400221
4,5.83670660370569
5,5.83155443155607
6,5.83942186208936
7,5.84083919510532
8,5.83314440761108
9,5.83307747981436
10,5.83613276544845
11,5.83560753731329
12,5.83853281910384
13,5.83758711438882
14,5.83078729972148
15,5.83469220217084
16,5.83038409483541
17,5.83885698671314
18,5.83761269413452
19,5.83880304307493
20,5.83865722969337
21,5.84164247428111
22,5.83727460617501
23,5.83993190103643
24,5.83276222119318
25,5.83252869197542
26,5.8305852494503
27,5.83617141505702
28,5.8365373306473
29,5.83773139749493
30,5.83533667836024
31,5.83307955396784
32,5.83773430088163
33,5.83394774465657
34,5.83228321981894
35,5.82667791593825
36,5.83208982138829
37,5.84230551258993
38,5.83811050799233
39,5.83347106943483
40,5.83457533372233
41,5.83796906626785
42,5.83011236103143
43,5.83430594369984
44,5.83828871549818
45,5.83989812748838
46,5.84007112333468
47,5.83111535890961
48,5.83671951200102
49,5.83602920232795
50,5.83703615534849
51,5.83685125228678
52,5.83208964552252
53,5.84078184730572
54,5.83464333560302
55,5.83481512748739
56,5.83280708122946
57,5.82858337255019
58,5.83437792324651
59,5.84406753309999
60,5.83551968360401
61,5.82999018979617
62,5.83648762045511
63,5.844092702751
64,5.83719576213403
65,5.83284307322747
66,5.84075474292042
67,5.8414039230322
68,5.83772712122858
69,5.83716097371939
70,5.84125701559535
71,5.83148919410474
72,5.84083315997441
73,5.83916029673908
74,5.83822666823281
75,5.8391803961605
76,5.83344124675631
77,5.83553317067595
78,5.84005968139225
79,5.83538164093211
80,5.83502013947473
81,5.83420807680893
82,5.83941498804119
83,5.83266106973459
84,5.8349541758839
85,5.83510449519904
86,5.83571710370061
87,5.84035688819418
88,5.83202848544907
89,5.8269982448868
90,5.83673691132322
91,5.84008767003376
92,5.83976430565493
93,5.8315636469209
94,5.83566419412716
95,5.84145450670029
96,5.83160979372937
97,5.83524633973569
98,5.82976340974521
99,5.83921344886087
100,5.8379557596948
101,5.83549182565582
102,5.8339515425978
103,5.83134669973054
104,5.83731556967499
105,5.83795100663254
106,5.83725567505092
107,5.83557907829474
108,5.83746976625157
109,5.83774192259622
110,5.83363174130413
111,5.83167952659087
112,5.83247296884523
113,5.83675791678791
114,5.83410101303125
115,5.83046295491953
116,5.83435056379147
117,5.83482887257532
118,5.8352049683032
119,5.83236770868823
120,5.83537923827878
121,5.8358673336395
122,5.83019184160048
123,5.83311480128696
124,5.83896467566211
125,5.83318594962458
126,5.83030426925631
127,5.83769050791507
128,5.83108555314535
129,5.8306036963727
130,5.83611337171994
131,5.83164600456925
132,5.83608034156374
133,5.83159122696255
134,5.83502775660168
135,5.83682556662479
136,5.83932117749687
137,5.84364407865607
138,5.84184646274508
139,5.83875916370928
140,5.83409877865472
141,5.83540825698832
142,5.83808802929633
143,5.84069166189053
144,5.82404524945487
145,5.83640336962441
146,5.83477955345205
147,5.83585039046499
148,5.83255852823588
149,5.83613856644981
150,5.83612871283658
151,5.83605337867287
152,5.83152676911394
153,5.83501956274318
154,5.83770323867007
155,5.83988910944387
156,5.83619361430245
157,5.83213094048038
158,5.838429300741
159,5.84154814921123
160,5.83745578006587
161,5.84256550135774
162,5.83543457360226
163,5.84145720197755
164,5.83888545069072
165,5.83216856970689
166,5.83669018569234
167,5.83439709765011
168,5.83889968756358
169,5.83936674883432
170,5.84138355731662
171,5.83599861900088
172,5.8350524791754
173,5.83298596512683
174,5.84260691170502
175,5.83868513446463
176,5.83240581300386
177,5.8374583698777
178,5.83726744391221
179,5.83612079770846
180,5.83251923002291
181,5.84056032167363
182,5.83896214397384
183,5.83326673578834
184,5.83938746839423
185,5.82786349676814
186,5.84348890274561
187,5.84084441730693
188,5.8337753743625
189,5.83500837802193
190,5.83770356345491
191,5.83576921400121
192,5.8291287883287
193,5.83231278712261
194,5.83559744125536
195,5.83305826467722
196,5.83972662804168
197,5.83633076608815
198,5.83776164074741
199,5.84061301671422
200,5.8332555839858
201,5.83203951134209
202,5.84083409810122
203,5.84064162848859
204,5.83848859970364
205,5.8340284130302
206,5.83726016442081
207,5.83507584222942
208,5.83314135451186
209,5.84005802927866
210,5.83849867256406
211,5.82716618378497
212,5.83462203535155
213,5.83972638072694
214,5.82952091549556
215,5.83407912682565
216,5.83069130303382
217,5.8399593013243
218,5.83921330063726
219,5.83473282500595
220,5.83049467869326
221,5.83795240995035
222,5.83536550969331
223,5.83542272991761
224,5.82825891113083
225,5.83467278444586
226,5.83412548128517
227,5.83845139274811
228,5.83046577129313
229,5.83434957725021
230,5.83352733943062
231,5.83800809443388
232,5.83691700472968
233,5.83594297873516
234,5.83507340749632
235,5.83760601965519
236,5.83236563786359
237,5.83633269041752
238,5.83302015736276
239,5.83314564560382
240,5.83869856782725
241,5.8311392401252
242,5.83601830268979
243,5.83789208138562
244,5.83634502709372
245,5.83810245880632
246,5.83305907182249
247,5.83139806837936
248,5.83329738589146
249,5.83465428102852
250,5.83852846160004
251,5.83597944026944
252,5.83514615524621
253,5.83637148648601
254,5.83134542339192
255,5.83542690340423
256,5.83657812021375
257,5.83950173391627
258,5.82886871650035
259,5.83949412112267
260,5.83314726593157
261,5.84356628441539
262,5.83910417023166
263,5.84391959721144
264,5.83364844270559
265,5.83457824178767
266,5.84734297018302
267,5.82691005338486
268,5.83134506358437
269,5.84440284200724
270,5.83482382989699
271,5.83392013186619
272,5.83038012724695
273,5.83464207378436
274,5.82964526859007
275,5.83759368189233
276,5.83778338600579
277,5.83392418803239
278,5.83638062349962
279,5.83491472500514
280,5.83167011866015
281,5.8318884158734
282,5.83971354643363
283,5.83166121727401
284,5.83538259052019
285,5.8369670962504
286,5.83783695867498
287,5.83859369416728
288,5.84180789973246
289,5.83766330107404
290,5.83543901875945
291,5.83441113504738
292,5.83429003681198
293,5.83857173403967
294,5.83229003482166
295,5.8348165380392
296,5.83636658924113
297,5.83458662263134
298,5.83441583389345
299,5.83768005364765
300,5.83067268297739
301,5.83605173140823
302,5.83265512450815
303,5.8319106639724
304,5.8349758471518
305,5.84024824317238
306,5.84448018214585
307,5.83522832692316
308,5.82753943916497
309,5.8321142984526
310,5.8367258413093
311,5.83386596688932
312,5.83630803337396
313,5.8394554007536
314,5.83617502450325
315,5.83824127142058
316,5.83793859706811
317,5.83377582847186
318,5.83559034684067
319,5.8436354594697
320,5.83101052527372
321,5.83134806213458
322,5.83130021361487
323,5.83581943677698
324,5.83440609844783
325,5.83063074996686
326,5.8389891403031
327,5.84197343409814
328,5.84538150971503
329,5.8394180606231
330,5.83982316605345
331,5.83441548594098
332,5.83326475348404
333,5.84228665393692
334,5.83517750221016
335,5.84085883477276
336,5.83550464577611
337,5.83331502292323
338,5.83619324344605
339,5.84020166829274
340,5.83461215269257
341,5.8411068308492
342,5.83787278397913
343,5.84021991526463
344,5.83774088727261
345,5.83892114933415
346,5.83305818643829
347,5.83487008717622
348,5.82665187623281
349,5.83146698666378
350,5.83573158514527
351,5.83597746954678
352,5.83381154512855
353,5.83671630887503
354,5.83355016492377
355,5.83078447911837
356,5.83290730744826
357,5.83843992863035
358,5.82613912598719
359,5.83705426044511
360,5.83512784710297
361,5.84040040060934
362,5.83804479550517
363,5.83612598805943
364,5.83554548635734
365,5.83154837178125
366,5.83377313104536
367,5.83734426935686
368,5.83123394339934
369,5.83074310911301
370,5.83170232144506
371,5.84066446774026
372,5.83458389824833
373,5.83595154340417
374,5.83963080751531
375,5.83442268326273
376,5.83315483176278
377,5.8238220468805
378,5.84223729019176
379,5.82754808239542
380,5.83788225537972
381,5.83482901424068
382,5.83184535490901
383,5.84104336516455
384,5.83279522794527
385,5.83198998421069
386,5.83374398033341
387,5.84131616429254
388,5.83444022398226
389,5.8368612018954
390,5.84306583530706
391,5.83174719365292
392,5.83283812224782
393,5.8427143547237
394,5.83879966668366
395,5.84765439434544
396,5.84273210094212
397,5.83924610711052
398,5.8340096784908
399,5.83732701965595
400,5.83685095682673
401,5.83229174530406
402,5.82827080295034
403,5.83538037183963
404,5.82874364126056
405,5.83874580463333
406,5.83274240534422
407,5.83302908945241
408,5.83848151941036
409,5.8381244607567
410,5.83482539253446
411,5.82927724247596
412,5.83804365563649
413,5.83826080675759
414,5.83527409785381
415,5.83920904769112
416,5.84143758738769
417,5.8339512166305
418,5.83551767654375
419,5.83986994822551
420,5.83085423647956
421,5.83660882766137
422,5.84140895910092
423,5.83870358591272
424,5.84588515558764
425,5.83496380364642
426,5.83050843320509
427,5.83614459970013
428,5.83850915779564
429,5.83609853908494
430,5.83848792950495
431,5.83298799289129
432,5.83639617573836
433,5.83675749320745
434,5.83435784428949
435,5.83581762167746
436,5.8350780237224
437,5.83681634413493
438,5.8405648631377
439,5.83977745977614
440,5.83733957397446
441,5.83333655819218
442,5.8346582828475
443,5.8381237467645
444,5.84057873938722
445,5.84381060717758
446,5.83218269455794
447,5.84258068586097
448,5.83692228930798
449,5.84205025740215
450,5.8438568016605
451,5.83480632998831
452,5.8333565178951
453,5.83463419707955
454,5.84165506088479
455,5.84217393997344
456,5.83728263278805
457,5.83613138783165
458,5.83789413586782
459,5.8311498491707
460,5.83587975642403
461,5.8376449837237
462,5.83886516328374
463,5.83692007316853
464,5.83627660510401
465,5.83534739257328
466,5.83833635173253
467,5.83938169310826
468,5.83955191331965
469,5.83651983317735
470,5.83218218648811
471,5.83485925755208
472,5.83407230841517
473,5.83349135203401
474,5.83802944330735
475,5.83187187933108
476,5.83148760546007
477,5.83801311281143
478,5.83935386969607
479,5.83270651364934
480,5.8304548155155
481,5.83488253839046
482,5.82841600208453
483,5.83194817004332
484,5.8307851361069
485,5.83338545770501
486,5.82860767319918
487,5.83287342074652
488,5.83171969345439
489,5.83814487558147
490,5.83176656311758
491,5.83315704793608
492,5.83104335667898
493,5.83908049006405
494,5.83837027395108
495,5.83713872765993
496,5.83305415736593
497,5.83350547230509
498,5.84229107384864
499,5.83736539245849
500,5.83382544972845
501,5.83642223165232
502,5.83128437145848
503,5.83470315874746
504,5.83977691644532
505,5.83370453166943
506,5.84143910334059
507,5.83471586125355
508,5.8328772208527
509,5.83700680260123
510,5.83554139975587
511,5.83445218596867
512,5.83887720392256
513,5.83019503537161
514,5.83487949907886
515,5.83885254195142
516,5.83302324518308
517,5.8415797930748
518,5.83245226330206
519,5.83438360820803
520,5.83827636189436
